File Name,Feeding,ZT,Mouse,Sample,Experience ,NO,Date of Exp 
Image _40,ad-libitum,12,R-F_AL_WT_ZT_12_,WT_4,2,4,02_2015
Image _41,ad-libitum,16,R-F_AL_WT_ZT_16_,WT_5,2,5,02_2015
Image _42,ad-libitum,20,R-F_AL_WT_ZT_20_,WT_6,2,6,02_2015
Image _43,ad-libitum,24,R-F_AL_WT_ZT_24_,WT_7,2,7,02_2015
Image _44,ad-libitum,28,R-F_AL_WT_ZT_28_,WT_8,2,8,02_2015
Image _45,ad-libitum,32,R-F_AL_WT_ZT_32_,WT_9,2,9,02_2015
Image _46,ad-libitum,36,R-F_AL_WT_ZT_36_,WT_10,2,10,02_2015
Image _47,ad-libitum,40,R-F_AL_WT_ZT_40_,WT_11,2,11,02_2015
Image _48,ad-libitum,44,R-F_AL_WT_ZT_44_,WT_12,2,12,02_2015
Image _49,Day (ZT2-ZT10),0,R-F_D_WT_ZT_00_,WT_13,2,13,02_2015
Image _50,Day (ZT2-ZT10),4,R-F_D_WT_ZT_04_,WT_14,2,14,02_2015
Image _51,Day (ZT2-ZT10),8,R-F_D_WT_ZT_08_,WT_15,2,15,02_2015
Image _52,Day (ZT2-ZT10),12,R-F_D_WT_ZT_12_,WT_16,2,16,02_2015
Image _53,Day (ZT2-ZT10),16,R-F_D_WT_ZT_16_,WT_17,2,17,02_2015
Image _54,Day (ZT2-ZT10),20,R-F_D_WT_ZT_20_,WT_18,2,18,02_2015
Image _55,Day (ZT2-ZT10),24,R-F_D_WT_ZT_24_,WT_19,2,19,02_2015
Image _56,Day (ZT2-ZT10),28,R-F_D_WT_ZT_28_,WT_20,2,20,02_2015
Image _57,Day (ZT2-ZT10),32,R-F_D_WT_ZT_32_,WT_21,2,21,02_2015
Image _58,Day (ZT2-ZT10),36,R-F_D_WT_ZT_36_,WT_22,2,22,02_2015
Image _59,Day (ZT2-ZT10),40,R-F_D_WT_ZT_40_,WT_23,2,23,02_2015
Image _60,Day (ZT2-ZT10),44,R-F_D_WT_ZT_44_,WT_24,2,24,02_2015
Image _61,Night (ZT14-ZT22),0,R-F_N_WT_ZT_00_,WT_25,2,25,02_2015
Image _62,Night (ZT14-ZT22),4,R-F_N_WT_ZT_04_,WT_26,2,26,02_2015
Image _63,Night (ZT14-ZT22),8,R-F_N_WT_ZT_08_,WT_27,2,27,02_2015
Image _64,Night (ZT14-ZT22),12,R-F_N_WT_ZT_12_,WT_28,2,28,02_2015
Image _65,Night (ZT14-ZT22),16,R-F_N_WT_ZT_16_,WT_29,2,29,02_2015
Image _66,Night (ZT14-ZT22),20,R-F_N_WT_ZT_20_,WT_30,2,30,02_2015
Image _67,Night (ZT14-ZT22),24,R-F_N_WT_ZT_24_,WT_31,2,31,02_2015
Image _68,Night (ZT14-ZT22),28,R-F_N_WT_ZT_28_,WT_32,2,32,02_2015
Image _69,Night (ZT14-ZT22),32,R-F_N_WT_ZT_32_,WT_33,2,33,02_2015
Image _70,Night (ZT14-ZT22),36,R-F_N_WT_ZT_36_,WT_34,2,34,02_2015
Image _71,Night (ZT14-ZT22),40,R-F_N_WT_ZT_40_,WT_35,2,35,02_2015
Image _72,Night (ZT14-ZT22),44,R-F_N_WT_ZT_44_,WT_36,2,36,02_2015
