image.name	Feeding	ZT	Mouse	Sample	Experience	NO	Date.of.Exp	condition	facs.2n	facs.4n	facs.6n	facs.8n	image.width	image.length	nb.cell.detected	percent.binucleated	cell.size.mono.mean	cell.size.binu.mean	cell.size.all.mean	nucleus.size.all.2c	nucleus.size.all.4c	nucleus.size.all.8c	nucleus.percent.all.2c	nucleus.percent.all.4c	nucleus.percent.all.8c	cell.percent.mono.2c	cell.percent.mono.4c	cell.percent.mono.8c	cell.percent.binu.4c	cell.percent.binu.8c
Image_27	Night (ZT14-ZT22)	ZT8	R-F_N_WT_ZT_08_	WT.NRF.ZT8	1	27	06_2014	NRF	61.5	33.78	0.42	1.51	22117	24357	3615	0.134439834024896	3011	4263	3132	296.993359741242	492.955310317785	709.039589262172	0.637746029904829	0.34423187173796	0.0180220983572113	0.547995399978035	0.29978445998815	0.0177803060089189	0.0877445501686178	0.0453629437261703
Image_28	Night (ZT14-ZT22)	ZT12	R-F_N_WT_ZT_12_	WT.NRF.ZT12	1	28	06_2014	NRF	60.84	34.86	0.3	1.23	19137	28237	4969	0.123364862145301	2407.5	3517	2500	305.389728613862	497.051390574487	631.94655683444	0.655747244589518	0.33293792839659	0.0113148270138918	0.548496171419807	0.315428287346291	0.0127106790886018	0.0940736208003291	0.0292912413449435
Image_29	Night (ZT14-ZT22)	ZT16	R-F_N_WT_ZT_16_	WT.NRF.ZT16	1	29	06_2014	NRF	64.68	32.27	0.33	1.17	21471	21872	3445	0.11088534107402	2581	3935	2674	313.893608561037	527.501931047793	722.391223658256	0.679081519970995	0.30898911100011	0.0119293690288949	0.596376964186923	0.279996289265406	0.0127414054736506	0.0790023708715598	0.0316275923480549
Image_30	Night (ZT14-ZT22)	ZT20	R-F_N_WT_ZT_20_	WT.NRF.ZT20	1	30	06_2014	NRF	64.76	32.14	0.48	0.83	23188	24297	5727	0.114894360048891	2702	3778.5	2793	277.41707810476	450.095276870186	562.211791693225	0.691463632842103	0.301213219798221	0.00732314735967529	0.599469819187826	0.278135881374265	0.00749993938901765	0.0857195426233761	0.0288425192754695
Image_31	Night (ZT14-ZT22)	ZT24	R-F_N_WT_ZT_24_	WT.NRF.ZT24	1	31	06_2014	NRF	53.94	40.6	0.44	3.24	17530	20155	2205	0.112925170068027	3566.5	4836	3690	282.723852064239	483.627280044081	770.874707161954	0.551740791297397	0.415081988332414	0.0331772203701892	0.474513626511731	0.378347355172709	0.0342138482475332	0.0697662937381964	0.0418039186421588
Image_32	Night (ZT14-ZT22)	ZT28	R-F_N_WT_ZT_28_	WT.NRF.ZT28	1	32	06_2014	NRF	59.67	34.12	0.51	2.22	22279	23489	2257	0.107665042091272	3402.5	4584	3534	286.004626843645	475.136179914723	716.103188851461	0.562121415291052	0.384237928823995	0.0536406558849524	0.48758060482113	0.349383533790322	0.0553708192972762	0.0675308181538194	0.0381116939067857
Image_33	Night (ZT14-ZT22)	ZT32	R-F_N_WT_ZT_32_	WT.NRF.ZT32	1	33	06_2014	NRF	52.98	40.73	0.59	2.66	14903	20963	2687	0.162634908820246	2717	3672	2829	302.985341746145	511.703830019878	831.953824732767	0.53104746289891	0.426629126563404	0.0423234105376854	0.402942927631546	0.389232998422362	0.0451891651258461	0.107235695487576	0.0533904586198713
Image_34	Night (ZT14-ZT22)	ZT36	R-F_N_WT_ZT_36_	WT.NRF.ZT36	1	34	06_2014	NRF	48.5	45.38	0.45	2.97	14297	14699	1349	0.147516679021497	2631	3539	2753	275.595347280918	483.89962012453	782.67330411774	0.455183977430898	0.497652325158712	0.0471636974103905	0.37013974644534	0.434997419601304	0.047346154931859	0.07609572983998	0.0680334619360738
Image_35	Night (ZT14-ZT22)	ZT40	R-F_N_WT_ZT_40_	WT.NRF.ZT40	1	35	06_2014	NRF	55.37	39.81	0.3	2.49	10993	21569	1874	0.11846318036286	2310	3374	2410	292.046977179649	484.916041927259	689.329882169505	0.592208455798947	0.382664415981226	0.0251271282198266	0.497283500644601	0.360558803466151	0.0236945155263875	0.0825399261330341	0.0337186281219536
Image_36	Night (ZT14-ZT22)	ZT44	R-F_N_WT_ZT_44_	WT.NRF.ZT44	1	36	06_2014	NRF	57.83	37.52	0.55	1.45	11872	20054	1809	0.133775566611388	2708	3502.5	2785	288.145897500468	493.318991745492	594.216078760345	0.630629899059231	0.354022583515594	0.015347517425175	0.529160401920767	0.319663391207595	0.01740064026025	0.0929161846035972	0.0408593820055123
