image.name	Feeding	ZT	Mouse	Sample	Experience	NO	Date.of.Exp	condition	facs.2n	facs.4n	facs.6n	facs.8n	image.width	image.length	nb.cell.detected	percent.binucleated	cell.size.mono.mean	cell.size.binu.mean	cell.size.all.mean	nucleus.size.all.2c	nucleus.size.all.4c	nucleus.size.all.8c	nucleus.percent.all.2c	nucleus.percent.all.4c	nucleus.percent.all.8c	cell.percent.mono.2c	cell.percent.mono.4c	cell.percent.mono.8c	cell.percent.binu.4c	cell.percent.binu.8c
Image_62	Night (ZT14-ZT22)	ZT52	R-F_N_Ob_ZT_04_	Ob.NRF.ZT52	2	26	02_2015	NRF	65.84	31.26	0.32	1.51	12973	27540	1472	0.0421195652173913	2089	2666	2109	246.642917530433	406.012714416727	629.368311251625	0.601665170723371	0.376067190876777	0.0222676383998521	0.555744750979984	0.378930142154953	0.023205541647672	0.0356311475703515	0.00648841764703985
Image_63	Night (ZT14-ZT22)	ZT56	R-F_N_Ob_ZT_08_	Ob.NRF.ZT56	2	27	02_2015	NRF	57.49	40.22	0.29	1.22	14833	28277	1943	0.0967575913535769	2521	2993.5	2576	257.080932993743	396.055086561346	595.544992781162	0.588522990734254	0.400657402679935	0.01081960658581	0.493304233166077	0.398545581090498	0.0113925943898487	0.0760814123039138	0.0204392334153643
Image_64	Night (ZT14-ZT22)	ZT60	R-F_N_Ob_ZT_12_	Ob.NRF.ZT60	2	28	02_2015	NRF	51.11	45.69	0.43	2.11	18975	27055	2152	0.0687732342007435	2595.5	3518	2639.5	262.161484106539	414.01647765833	664.204495461587	0.484298634769807	0.480640577064059	0.0350607881661348	0.440116729007987	0.453638004829322	0.0374720319619471	0.0387443445969718	0.0300288896037717
Image_65	Night (ZT14-ZT22)	ZT64	R-F_N_Ob_ZT_16_	Ob.NRF.ZT64	2	29	02_2015	NRF	53.33	43.86	0.52	1.42	15449	19619	868	0.0564516129032258	3016	4472	3076	272.828540122404	423.90849662178	658.662305168374	0.499610615122795	0.468583762476524	0.0318056224006815	0.454420420187108	0.456689304500518	0.0324386624091482	0.0366970099914704	0.0191733835740341
Image_66	Night (ZT14-ZT22)	ZT68	R-F_N_Ob_ZT_20_	Ob.NRF.ZT68	2	30	02_2015	NRF	57.6	37.52	0.82	1.51	18480	31267	2405	0.0498960498960499	2999	4012.5	3037	268.504541301862	407.374057899153	587.021255728287	0.553970787743122	0.42780655155834	0.0182226606985374	0.50822572409653	0.422746329962382	0.0191318960450382	0.0366930088563886	0.0132030393191852
Image_67	Night (ZT14-ZT22)	ZT72	R-F_N_Ob_ZT_24_	Ob.NRF.ZT72	2	31	02_2015	NRF	56.16	41.18	0.44	1.46	24562	23590	962	0.0446985446985447	3981	4835	4015.5	261.300742083062	415.025326115164	566.995798922827	0.561342333984339	0.424172850232174	0.0144848157834873	0.527094064256587	0.413075125085653	0.0151322659592159	0.0296697275672683	0.0150288171262665
Image_68	Night (ZT14-ZT22)	ZT76	R-F_N_Ob_ZT_28_	Ob.NRF.ZT76	2	32	02_2015	NRF	58.2	39.62	0.46	1.02	15449	36824	1460	0.0547945205479452	3574.5	4272	3620	276.188987538139	434.466357590938	683.047613959066	0.574590790504435	0.411923149259528	0.0134860602360368	0.517160392682219	0.413820064329085	0.0142250224407512	0.0444574123495858	0.0103371081983594
Image_69	Night (ZT14-ZT22)	ZT80	R-F_N_Ob_ZT_32_	Ob.NRF.ZT80	2	33	02_2015	NRF	58.69	37.94	0.67	1.43	20703	29752	1531	0.0502939255388635	3318	4300	3362	274.721074059941	453.333187276878	725.650060261063	0.569758975149061	0.409216919008681	0.0210241058422584	0.513720929216592	0.413903654588535	0.0220814906560101	0.0423467307018577	0.00794719483700574
Image_70	Night (ZT14-ZT22)	ZT84	R-F_N_Ob_ZT_36_	Ob.NRF.ZT84	2	34	02_2015	NRF	58.89	38.17	0.59	1.29	9942	38036	1181	0.0516511430990686	4009	4769	4061	285.233567828344	470.621356372893	733.432209303104	0.593631096123174	0.390102268088473	0.0162666357883531	0.536018013039486	0.396084151064943	0.0162466927965021	0.0441374038888013	0.00708367254791944
Image_71	Night (ZT14-ZT22)	ZT88	R-F_N_Ob_ZT_40_	Ob.NRF.ZT88	2	35	02_2015	NRF	56.7	39.9	0.55	1.62	25138	21306	1237	0.0590137429264349	3260.5	3883	3284	275.304460323989	456.967762942935	731.010086524373	0.571391925775545	0.407479474039597	0.021128600184858	0.514941192242242	0.40500258218701	0.0210424826443133	0.045085354875631	0.0132618903906792
Image_72	Night (ZT14-ZT22)	ZT92	R-F_N_Ob_ZT_44_	Ob.NRF.ZT92	2	36	02_2015	NRF	54.3	42.48	0.53	1.55	27533	18407	1603	0.0655021834061135	3245.5	3958	3298	277.070844092636	453.63126932327	728.261481296972	0.52254720327102	0.453493003203323	0.0239597935256575	0.466116808293826	0.442851795984515	0.0255292123155447	0.0453291888621017	0.0201729945440103
